Restaurant{ID=1, NAME='Le Bernardin', CUISINE='Seafood', LOCATION='New York City', OPEN_YEAR=1986, NO_SEATS=80, AVERAGE_MEAL_PRICE=150.0, RATING=4.9}
Restaurant{ID=3, NAME='Eleven Madison Park', CUISINE='New American', LOCATION='New York City', OPEN_YEAR=1998, NO_SEATS=80, AVERAGE_MEAL_PRICE=315.0, RATING=4.6}
Restaurant{ID=15, NAME='D.O.M.', CUISINE='Brazilian', LOCATION='São Paulo', OPEN_YEAR=1999, NO_SEATS=50, AVERAGE_MEAL_PRICE=150.0, RATING=4.1}
Restaurant{ID=5, NAME='Ikarus', CUISINE='International', LOCATION='Salzburg', OPEN_YEAR=2003, NO_SEATS=60, AVERAGE_MEAL_PRICE=190.0, RATING=4.2}
Restaurant{ID=2, NAME='Alinea', CUISINE='Contemporary American', LOCATION='Chicago', OPEN_YEAR=2005, NO_SEATS=64, AVERAGE_MEAL_PRICE=210.0, RATING=4.7}
Restaurant{ID=9, NAME='Amber', CUISINE='Contemporary', LOCATION='Hong Kong', OPEN_YEAR=2005, NO_SEATS=52, AVERAGE_MEAL_PRICE=163.0, RATING=3.9}
Restaurant{ID=11, NAME='Gymkhana', CUISINE='Indian', LOCATION='London', OPEN_YEAR=2005, NO_SEATS=58, AVERAGE_MEAL_PRICE=50.0, RATING=4.0}
Restaurant{ID=14, NAME='Attica', CUISINE='Contemporary', LOCATION='Melbourne', OPEN_YEAR=2005, NO_SEATS=58, AVERAGE_MEAL_PRICE=125.0, RATING=4.4}
Restaurant{ID=10, NAME='Aponiente', CUISINE='Seafood', LOCATION='El Puerto de Santa María', OPEN_YEAR=2007, NO_SEATS=38, AVERAGE_MEAL_PRICE=235.0, RATING=4.1}
Restaurant{ID=4, NAME='Fäviken', CUISINE='Scandinavian', LOCATION='Järpen', OPEN_YEAR=2008, NO_SEATS=16, AVERAGE_MEAL_PRICE=265.0, RATING=3.9}
Restaurant{ID=12, NAME='The Chairman', CUISINE='Chinese', LOCATION='Hong Kong', OPEN_YEAR=2009, NO_SEATS=40, AVERAGE_MEAL_PRICE=32.0, RATING=4.6}
Restaurant{ID=13, NAME='The Test Kitchen', CUISINE='Contemporary', LOCATION='Cape Town', OPEN_YEAR=2010, NO_SEATS=40, AVERAGE_MEAL_PRICE=98.0, RATING=4.2}
Restaurant{ID=7, NAME='Tickets', CUISINE='Spanish', LOCATION='Barcelona', OPEN_YEAR=2011, NO_SEATS=90, AVERAGE_MEAL_PRICE=120.0, RATING=4.0}
Restaurant{ID=8, NAME='White Rabbit', CUISINE='Russian', LOCATION='Moscow', OPEN_YEAR=2011, NO_SEATS=140, AVERAGE_MEAL_PRICE=105.0, RATING=4.3}
Restaurant{ID=6, NAME='Trois Mec', CUISINE='French', LOCATION='Los Angeles', OPEN_YEAR=2013, NO_SEATS=26, AVERAGE_MEAL_PRICE=85.0, RATING=4.1}
